Neighborhood,Address Latitude,Address Longitude,Borough,City
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4831933,13.3484196,Tempelhof-Schöneberg,Berlin
"Informationsort Schwerbelastungskörper, 100, General-Pape-Straße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48414325,13.371623150427803,Tempelhof-Schöneberg,Berlin
"P 3, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48324,13.391363843126705,Tempelhof-Schöneberg,Berlin
"Freiluftkino Hasenheide, Columbiadamm, Neukölln, Berlin, 10965, Deutschland",52.48377955,13.416431726273242,Neukölln,Berlin
"6, Wittelsbacherstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10707, Deutschland",52.4946809,13.3145354,Charlottenburg-Wilmersdorf,Berlin
"Bamberger Straße, Nachodstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10779, Deutschland",52.4948255,13.3367165,Charlottenburg-Wilmersdorf,Berlin
"Pallasseum, Pallasstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, Deutschland",52.49518875,13.359006201522586,Schöneberg,Berlin
"14, Wartenburgstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Deutschland",52.4953821,13.381169342934664,Friedrichshain-Kreuzberg,Berlin
"Freiwillige Feuerwehr Urban, Wilmsstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland",52.495526,13.4032215,Friedrichshain-Kreuzberg,Berlin
"31a, Paul-Lincke-Ufer, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",52.4955446,13.42574419622343,Friedrichshain-Kreuzberg,Berlin
"Stilwerk, Kantstraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10623, Deutschland",52.5060585,13.324762716601114,Charlottenburg-Wilmersdorf,Berlin
"45, Keithstraße, Botschaftsviertel, Tiergarten, Mitte, Berlin, 10787, Deutschland",52.5063905,13.3477118,Mitte,Berlin
"Staatsbibliothek zu Berlin, 33, Potsdamer Straße, Tiergarten, Mitte, Berlin, 10785, Deutschland",52.5073702,13.370841108625655,Mitte,Berlin
"24, Rudi-Dutschke-Straße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland",52.5069313,13.3917987,Friedrichshain-Kreuzberg,Berlin
"Bürohaus Annenhöfe, Annenstraße, Luisenstadt, Mitte, Berlin, 10179, Deutschland",52.50762025,13.414311004182627,Mitte,Berlin
"39, Mühlenstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland",52.50764570000001,13.4364658,Friedrichshain-Kreuzberg,Berlin
"1A, Guerickestraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10587, Deutschland",52.51763560000001,13.3140182,Charlottenburg-Wilmersdorf,Berlin
"6, Hansa-Ufer, Moabit, Mitte, Berlin, 10555, Deutschland",52.5184403,13.3357541,Mitte,Berlin
"Urgarten, Magnus-Hirschfeld-Ufer, Moabit, Mitte, Berlin, 10557, Deutschland",52.5180554,13.358051500000002,Mitte,Berlin
"ARD-Hauptstadtstudio, 67a, Wilhelmstraße, Mitte, Berlin, 10117, Deutschland",52.5187962,13.381136830189641,Mitte,Berlin
"Liebknechtbrücke, Karl-Liebknecht-Straße, Mitte, Berlin, 10178, Deutschland",52.518789100000006,13.402298396475336,Mitte,Berlin
"Fahrrad Flöckner, 46, Karl-Marx-Allee, Mitte, Berlin, 10178, Deutschland",52.51897030000001,13.42467676985597,Mitte,Berlin
"13, Löwestraße, Hausburgviertel, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10249, Deutschland",52.5193145,13.4465282,Friedrichshain-Kreuzberg,Berlin
"Jugendhaus B8, Berlichingenstraße, Moabit, Mitte, Berlin, 10553, Deutschland",52.5295573,13.325195239808107,Mitte,Berlin
"Landesamt für Gesundheit und Soziales Berlin - Zentrale Leistungsstelle für Asylbewerber, Perleberger Straße, Moabit, Mitte, Berlin, 10559, Deutschland",52.52989520000001,13.346347094198109,Mitte,Berlin
"MY.B, Heidestraße, Moabit, Mitte, Berlin, 10557, Deutschland",52.53031975,13.36892161849504,Mitte,Berlin
"101, Gartenstraße, Spandauer Vorstadt, Mitte, Berlin, 10115, Deutschland",52.53052625,13.390977855650716,Mitte,Berlin
"Red Rose Club, 14, Saarbrücker Straße, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland",52.5309655,13.413179500000002,Pankow,Berlin
"13, Hans-Otto-Straße, Bötzowviertel, Prenzlauer Berg, Pankow, Berlin, 10407, Deutschland",52.530952799999994,13.435425652986641,Pankow,Berlin
"21, Tegeler Straße, Sprengelkiez, Wedding, Mitte, Berlin, 13353, Deutschland",52.5416827,13.357536800000002,Mitte,Berlin
"Pierburg GmbH Werk Berlin, Scheringstraße, Gesundbrunnen, Mitte, Berlin, 13355, Deutschland",52.5423782,13.380432041424491,Mitte,Berlin
"Berlin Nordbahnhof, Bärbel-Bohley-Ring, Gesundbrunnen, Mitte, Berlin, 13355, Deutschland",52.5452407,13.400227631013953,Mitte,Berlin
